player_id,Position,x_star,x_star_sd,Player_Name,Position_Code,Team,points,goals,assists,gamesPlayed,Points_per_60,x_star_rank,pts60_rank,rank_divergence
8482078,forwards,0.90868926,0.2824768,Lucas Raymond,L,DET,76,25,51,80,3.0319148936170213,126,44,82
8482758,forwards,0.90804815,0.33242774,Ville Koivunen,R,PIT,7,2,5,39,0.8457511075312122,127,360,-233
8479619,forwards,0.886665,0.29158378,Michael Carcone,L,UTA,31,16,15,79,1.8370067982420042,128,200,-72
8482775,forwards,0.8845229,0.2956502,Oliver Kapanen,C,MTL,37,22,15,82,1.9361027936858628,129,183,-54
8483464,forwards,0.8717421,0.29027098,Marco Kasper,C,DET,19,9,10,81,1.0198604401502953,130,341,-211
8480068,forwards,0.86841536,0.30568144,Ryan Poehling,C,ANA,36,11,25,75,1.9503386004514673,131,180,-49
8481533,forwards,0.8681408,0.28168494,Trevor Zegras,C,PHI,67,26,41,81,2.663486384416617,132,79,53
8475791,forwards,0.86646557,0.27499497,Taylor Hall,L,CAR,48,18,30,80,2.4161073825503356,133,109,24
8475726,forwards,0.8536638,0.3046366,Tyler Toffoli,C,SJS,49,19,30,79,2.486538298892053,134,99,35
8484136,forwards,0.8354514,0.2749237,Max Sasson,C,VAN,19,13,6,66,1.4742014742014742,135,265,-130
8481557,forwards,0.82846475,0.27857977,Matt Boldy,L,MIN,85,42,43,76,3.203115186534355,136,26,110
8476469,forwards,0.82641816,0.28360993,Joel Armia,R,LAK,25,13,12,67,1.5991471215351813,137,250,-113
8477934,forwards,0.8239756,0.29007486,Leon Draisaitl,C,EDM,97,35,62,65,4.129367941819902,138,4,134
8477942,forwards,0.8191451,0.26729426,Kevin Fiala,L,LAK,40,18,22,56,2.2418732096151452,139,135,4
8476880,forwards,0.8161236,0.2708381,Tom Wilson,R,WSH,62,30,32,72,2.654109589041096,140,80,60
8479987,forwards,0.8159265,0.26395613,Morgan Geekie,C,BOS,68,39,29,81,2.8865541759524564,141,51,90
8477503,forwards,0.8051195,0.28534457,Max Domi,C,TOR,36,12,24,80,1.8141097424412094,142,204,-62
8484227,forwards,0.7974825,0.27045813,Will Smith,C,SJS,59,24,35,69,2.821504005101024,143,58,85
8483512,forwards,0.7898015,0.2628857,Matt Savoie,C,EDM,37,18,19,82,1.8375455247765147,144,199,-55
8477935,forwards,0.7891581,0.2888174,Sam Bennett,C,FLA,58,26,32,76,2.4751066856330013,145,101,44
8482665,forwards,0.7873193,0.2889079,Matty Beniers,C,SEA,50,20,30,82,1.8972531989796995,146,187,-41
8479981,forwards,0.7725602,0.27244103,Jonah Gadjovich,L,FLA,3,0,3,10,2.2641509433962264,147,131,16
8482705,forwards,0.7703736,0.27375698,Cole Sillinger,C,CBJ,33,8,25,81,1.606425702811245,148,247,-99
8482679,forwards,0.7651618,0.26728773,Matt Coronato,R,CGY,45,18,27,80,2.027027027027027,149,167,-18
8479400,forwards,0.75690436,0.29094282,Pierre-Luc Dubois,C,WSH,19,5,14,29,2.337582447626534,150,121,29
8478414,forwards,0.74345094,0.2696729,Timo Meier,R,NJD,44,24,20,77,1.8516137328018516,151,196,-45
8482177,forwards,0.7401334,0.27027285,Marat Khusnutdinov,C,BOS,33,15,18,77,1.7652827721477606,152,210,-58
8479365,forwards,0.73861074,0.33735597,Trent Frederic,C,EDM,7,4,3,74,0.5191166776532631,153,379,-226
